id,phone_id,online,online_dummy,parent_yn,parent_dummy,gender_own,female,age_own,minage_partner,maxage_partner,height_own,minheight_partner,maxheight_partner,appearance_own,apperance_partner,appearance_own_level,apperance_partner_level,goodlooking_own,goodlooking_partner,status_own,status_own_levels,educ_own,educ_own_levels,min_educ_partner,min_educ_partner_levels
1,,online,1,,0,male,0,31,24,34,165.1,157.48,165.1,below average,any,1,0,,,single,1,bachelors degree,3,any,0
2,,online,1,,0,male,0,34,25,44,177.8,,,attractive,any,3,0,,,single,1,bachelors degree,3,any,0
3,,online,1,,0,male,0,33,25,36,177.8,160.02,175.26,below average,any,1,0,,,widowed,3,masters degree,4,high school,1
4,,online,1,,0,male,0,32,18,26,172.72,,,attractive,"very attractive, attractive",3,3,,,single,1,bachelors degree,3,any,0
5,,online,1,,0,male,0,35,28,40,177.8,149.86,175.26,below average,average,1,2,,,single,1,bachelors degree,3,bachelors degree,3
6,,online,1,,0,male,0,37,22,30,172.72,160.02,175.26,average,any,2,0,,,divorced,2,bachelors degree,3,high school,1
7,,online,1,,0,male,0,38,22,37,170.18,,,average,any,2,0,,,single,1,high school,1,any,0
8,,online,1,,0,male,0,33,24,38,177.8,154.94,,attractive,"very attractive, attractive, average",3,2,,,single,1,phd or doctorate,5,vocational college,2
9,,online,1,,0,male,0,34,23,30,172.72,160.02,,attractive,attractive,3,3,,,single,1,vocational college,2,any,0
10,,online,1,,0,male,0,32,20,30,167.64,,,average,any,2,0,,,single,1,masters degree,4,any,0
11,,online,1,,0,male,0,36,21,65,177.8,,,attractive,"very attractive, attractive",3,3,,,divorced,2,bachelors degree,3,any,0
12,,online,1,,0,male,0,39,18,39,172.72,,,below average,any,1,0,,,single,1,bachelors degree,3,any,0
13,,online,1,,0,male,0,38,29,34,170.18,154.94,162.56,average,average,2,2,,,divorced,2,bachelors degree,3,vocational college,2
14,,online,1,,0,male,0,48,30,60,170.18,,,average,any,2,0,,,divorced,2,high school,1,any,0
15,,online,1,,0,male,0,33,28,36,177.8,149.86,170.18,below average,any,1,0,,,single,1,bachelors degree,3,high school,1
16,,online,1,,0,male,0,48,35,50,170.18,,,below average,"average, below average",1,2,,,divorced,2,bachelors degree,3,high school,1
17,,online,1,,0,male,0,33,22,40,177.8,162.56,175.26,attractive,attractive,3,3,,,single,1,bachelors degree,3,any,0
18,,online,1,,0,male,0,33,27,35,182.88,,,attractive,any,3,0,,,divorced,2,bachelors degree,3,any,0
19,,online,1,,0,male,0,50,42,53,170.18,,,below average,any,1,0,,,divorced,2,bachelors degree,3,any,0
20,,online,1,,0,male,0,50,42,53,170.18,,,below average,any,1,0,,,divorced,2,bachelors degree,3,any,0
21,,online,1,,0,male,0,32,27,40,177.8,,,below average,any,1,0,,,divorced,2,middle school / junior high,1,any,0
22,,online,1,,0,male,0,26,23,35,180.34,,,below average,any,1,0,,,single,1,bachelors degree,3,bachelors degree,3
23,,online,1,,0,male,0,19,18,25,177.8,,,attractive,attractive,3,3,,,other,4,high school,1,any,0
24,,online,1,,0,male,0,27,19,24,177.8,,,attractive,any,3,0,,,single,1,bachelors degree,3,any,0
25,,online,1,,0,male,0,32,29,45,175.26,,,below average,any,1,0,,,divorced,2,bachelors degree,3,any,0
26,,online,1,,0,male,0,35,21,37,177.8,,,average,any,2,0,,,other,4,bachelors degree,3,any,0
27,,online,1,,0,male,0,27,18,30,177.8,,,average,any,2,0,,,single,1,bachelors degree,3,any,0
28,,online,1,,0,male,0,44,24,42,172.72,,,attractive,any,3,0,,,divorced,2,bachelors degree,3,any,0
29,,online,1,,0,male,0,40,30,45,180.34,157.48,175.26,attractive,any,3,0,,,single,1,bachelors degree,3,any,0
30,,online,1,,0,male,0,28,19,32,177.8,,,below average,any,1,0,,,single,1,bachelors degree,3,any,0
31,,online,1,,0,male,0,32,23,43,180.34,,,below average,any,1,0,,,single,1,bachelors degree,3,any,0
32,,online,1,,0,male,0,36,30,38,177.8,152.4,177.8,average,any,2,0,,,single,1,vocational college,2,high school,1
33,,online,1,,0,male,0,35,30,38,177.8,,,average,any,2,0,,,single,1,vocational college,2,any,0
34,,online,1,,0,male,0,20,18,25,172.72,,,below average,any,1,0,,,single,1,high school,1,any,0
35,,online,1,,0,male,0,29,23,33,182.88,160.02,180.34,average,any,2,0,,,divorced,2,bachelors degree,3,vocational college,2
36,,online,1,,0,male,0,31,20,35,177.8,160.02,,average,any,2,0,,,single,1,bachelors degree,3,bachelors degree,3
37,,online,1,,0,male,0,25,19,25,175.26,154.94,175.26,average,average,2,2,,,single,1,high school,1,any,0
38,,online,1,,0,male,0,31,20,35,177.8,154.94,170.18,average,any,2,0,,,single,1,bachelors degree,3,any,0
39,,online,1,,0,male,0,38,22,38,175.26,,,below average,any,1,0,,,single,1,masters degree,4,any,0
40,,online,1,,0,male,0,38,28,40,175.26,149.86,,below average,any,1,0,,,divorced,2,vocational college,2,any,0
41,,online,1,,0,male,0,35,28,37,170.18,,,average,any,2,0,,,single,1,bachelors degree,3,middle school / junior high,1
42,,online,1,,0,male,0,40,23,40,170.18,,,very attractive,any,4,0,,,single,1,phd or doctorate,5,any,0
43,,online,1,,0,male,0,31,20,35,177.8,,,average,any,2,0,,,single,1,bachelors degree,3,high school,1
44,,online,1,,0,male,0,33,25,45,177.8,,,below average,any,1,0,,,divorced,2,bachelors degree,3,any,0
45,,online,1,,0,male,0,35,28,50,182.88,,,average,any,2,0,,,single,1,vocational college,2,any,0
46,,online,1,,0,male,0,31,20,35,172.72,,,below average,any,1,0,,,other,4,bachelors degree,3,any,0
47,,online,1,,0,male,0,30,25,30,175.26,,,below average,any,1,0,,,divorced,2,masters degree,4,any,0
48,,online,1,,0,male,0,35,34,52,177.8,,,attractive,any,3,0,,,other,4,bachelors degree,3,any,0
49,,online,1,,0,male,0,35,29,36,177.8,162.56,,below average,any,1,0,,,divorced,2,high school,1,any,0
50,,online,1,,0,male,0,27,19,32,182.88,,,below average,any,1,0,,,single,1,bachelors degree,3,any,0
51,,online,1,,0,male,0,29,30,40,177.8,,,average,any,2,0,,,single,1,phd or doctorate,5,any,0
52,,online,1,,0,male,0,35,29,40,175.26,,,attractive,any,3,0,,,single,1,bachelors degree,3,any,0
53,,online,1,,0,male,0,50,30,38,170.18,154.94,175.26,very attractive,any,4,0,,,divorced,2,bachelors degree,3,high school,1
54,,online,1,,0,male,0,50,42,53,170.18,157.48,170.18,below average,any,1,0,,,divorced,2,bachelors degree,3,any,0
55,,online,1,,0,male,0,50,34,45,172.72,154.94,165.1,attractive,any,3,0,,,other,4,vocational college,2,vocational college,2
56,,online,1,,0,male,0,27,19,30,175.26,,,average,any,2,0,,,single,1,bachelors degree,3,any,0
57,,online,1,,0,male,0,29,19,33,172.72,,,average,any,2,0,,,divorced,2,middle school / junior high,1,any,0
58,,online,1,,0,male,0,33,20,35,165.1,,,below average,any,1,0,,,single,1,bachelors degree,3,any,0
59,,online,1,,0,male,0,29,19,30,170.18,,,average,any,2,0,,,single,1,bachelors degree,3,vocational college,2
60,,online,1,,0,male,0,21,18,26,175.26,,,attractive,any,3,0,,,single,1,vocational college,2,any,0
61,,online,1,,0,male,0,24,18,28,180.34,,,average,any,2,0,,,single,1,high school,1,any,0
62,,online,1,,0,male,0,31,18,45,175.26,160.02,175.26,below average,"very attractive, attractive",1,3,,,divorced,2,bachelors degree,3,high school,1
63,,online,1,,0,male,0,21,19,23,172.72,,,average,average,2,2,,,single,1,high school,1,any,0
64,,online,1,,0,male,0,44,36,44,172.72,162.56,172.72,below average,any,1,0,,,divorced,2,bachelors degree,3,any,0
65,,online,1,,0,male,0,41,26,38,170.18,,,attractive,any,3,0,,,single,1,bachelors degree,3,any,0
66,,online,1,,0,male,0,36,21,37,167.64,,,average,any,2,0,,,separated,2,bachelors degree,3,any,0
67,,online,1,,0,male,0,26,18,25,175.26,,,attractive,any,3,0,,,single,1,bachelors degree,3,any,0
68,,online,1,,0,male,0,43,30,41,172.72,160.02,,attractive,any,3,0,,,divorced,2,bachelors degree,3,any,0
69,,online,1,,0,male,0,48,18,40,170.18,,,average,any,2,0,,,divorced,2,vocational college,2,any,0
70,,online,1,,0,male,0,29,19,32,172.72,,,below average,any,1,0,,,single,1,vocational college,2,any,0
71,,online,1,,0,male,0,32,18,29,175.26,,220.98,attractive,any,3,0,,,single,1,masters degree,4,any,0
72,,online,1,,0,male,0,36,30,37,175.26,154.94,172.72,attractive,any,3,0,,,single,1,bachelors degree,3,high school,1
73,,online,1,,0,male,0,32,20,35,175.26,,,attractive,any,3,0,,,single,1,bachelors degree,3,any,0
74,,online,1,,0,male,0,47,20,40,170.18,,,below average,any,1,0,,,divorced,2,bachelors degree,3,any,0
75,,online,1,,0,male,0,28,19,35,170.18,,,below average,attractive,1,3,,,single,1,bachelors degree,3,any,0
76,,online,1,,0,male,0,33,31,40,182.88,,,average,any,2,0,,,single,1,bachelors degree,3,any,0
77,,online,1,,0,male,0,29,20,35,165.1,149.86,170.18,average,average,2,2,,,single,1,high school,1,primary (elementary) school,1
78,,online,1,,0,male,0,37,26,39,170.18,,,below average,below average,1,1,,,single,1,bachelors degree,3,any,0
79,,online,1,,0,male,0,35,28,40,175.26,,,attractive,any,3,0,,,divorced,2,bachelors degree,3,any,0
80,,online,1,,0,male,0,34,21,32,170.18,,162.56,average,any,2,0,,,divorced,2,high school,1,any,0
81,,online,1,,0,male,0,21,18,26,180.34,,,attractive,any,3,0,,,single,1,masters degree,4,any,0
82,,online,1,,0,male,0,43,24,41,175.26,,,average,any,2,0,,,divorced,2,high school,1,any,0
83,,online,1,,0,male,0,30,26,40,177.8,149.86,172.72,below average,any,1,0,,,single,1,bachelors degree,3,any,0
84,,online,1,,0,male,0,33,28,35,177.8,,,below average,any,1,0,,,divorced,2,bachelors degree,3,any,0
85,,online,1,,0,male,0,36,29,45,175.26,165.1,172.72,attractive,any,3,0,,,single,1,bachelors degree,3,any,0
86,,online,1,,0,male,0,38,26,43,170.18,152.4,167.64,average,any,2,0,,,single,1,vocational college,2,middle school / junior high,1
87,,online,1,,0,male,0,48,25,38,167.64,,,average,any,2,0,,,divorced,2,masters degree,4,high school,1
88,,online,1,,0,male,0,34,21,30,165.1,,,average,any,2,0,,,divorced,2,bachelors degree,3,any,0
89,,online,1,,0,male,0,21,21,31,175.26,,,average,any,2,0,,,single,1,high school,1,any,0
90,,online,1,,0,male,0,41,32,44,177.8,,,average,any,2,0,,,divorced,2,vocational college,2,any,0
91,,online,1,,0,male,0,48,27,44,175.26,149.86,170.18,attractive,"attractive, average",3,2,,,divorced,2,bachelors degree,3,any,0
92,,online,1,,0,male,0,31,20,35,170.18,160.02,170.18,attractive,"very attractive, attractive",3,3,,,other,4,vocational college,2,vocational college,2
93,,online,1,,0,male,0,29,22,37,180.34,,,average,below average,2,1,,,single,1,bachelors degree,3,any,0
94,,online,1,,0,male,0,22,18,22,165.1,,170.18,below average,any,1,0,,,single,1,bachelors degree,3,bachelors degree,3
95,,online,1,,0,male,0,20,18,25,165.1,,,below average,any,1,0,,,single,1,bachelors degree,3,any,0
96,,online,1,,0,male,0,23,18,28,175.26,,,average,any,2,0,,,single,1,bachelors degree,3,any,0
97,,online,1,,0,male,0,19,18,25,170.18,149.86,185.42,below average,very attractive,1,3,,,single,1,high school,1,high school,1
98,,online,1,,0,male,0,43,24,41,165.1,,,average,any,2,0,,,divorced,2,bachelors degree,3,any,0
99,,online,1,,0,male,0,35,21,37,170.18,,,average,any,2,0,,,other,4,bachelors degree,3,any,0
100,,online,1,,0,male,0,35,24,34,170.18,,,below average,any,1,0,,,single,1,high school,1,any,0
101,,online,1,,0,male,0,50,32,50,177.8,,,attractive,any,3,0,,,separated,2,bachelors degree,3,any,0
102,,online,1,,0,male,0,34,21,30,185.42,160.02,185.42,below average,any,1,0,,,single,1,bachelors degree,3,high school,1
103,,online,1,,0,male,0,39,22,39,177.8,,,below average,any,1,0,,,widowed,3,bachelors degree,3,any,0
104,,online,1,,0,male,0,28,19,32,177.8,,,average,any,2,0,,,single,1,bachelors degree,3,any,0
105,,online,1,,0,male,0,47,51,52,170.18,160.02,165.1,attractive,below average,3,1,,,separated,2,bachelors degree,3,bachelors degree,3
106,,online,1,,0,male,0,24,18,24,175.26,149.86,170.18,average,any,2,0,,,single,1,vocational college,2,any,0
107,,online,1,,0,male,0,28,19,33,177.8,,,very attractive,any,4,0,,,single,1,phd or doctorate,5,bachelors degree,3
108,,online,1,,0,male,0,28,18,28,175.26,160.02,170.18,attractive,"average, below average",3,2,,,single,1,bachelors degree,3,any,0
109,,online,1,,0,male,0,24,18,24,172.72,,,attractive,any,3,0,,,single,1,bachelors degree,3,any,0
110,,online,1,,0,male,0,30,19,33,175.26,160.02,165.1,very attractive,very attractive,4,3,,,single,1,phd or doctorate,5,bachelors degree,3
111,,online,1,,0,male,0,29,19,33,172.72,165.1,180.34,below average,any,1,0,,,single,1,bachelors degree,3,bachelors degree,3
112,,online,1,,0,male,0,30,18,23,177.8,165.1,170.18,average,any,2,0,,,single,1,bachelors degree,3,any,0
113,,online,1,,0,male,0,26,19,26,175.26,165.1,175.26,below average,"average, below average",1,2,,,single,1,middle school / junior high,1,middle school / junior high,1
114,,online,1,,0,male,0,37,21,36,170.18,,,average,any,2,0,,,other,4,bachelors degree,3,any,0
115,,online,1,,0,male,0,44,35,50,172.72,,,below average,any,1,0,,,other,4,bachelors degree,3,any,0
116,,online,1,,0,male,0,47,23,43,175.26,149.86,162.56,average,any,2,0,,,single,1,bachelors degree,3,vocational college,2
117,,online,1,,0,male,0,28,19,32,170.18,,,below average,average,1,2,,,single,1,bachelors degree,3,high school,1
118,,online,1,,0,male,0,35,30,40,170.18,160.02,175.26,below average,any,1,0,,,divorced,2,phd or doctorate,5,any,0
119,,online,1,,0,male,0,21,18,32,177.8,,,attractive,any,3,0,,,single,1,vocational college,2,any,0
120,,online,1,,0,male,0,30,23,33,172.72,154.94,170.18,below average,below average,1,1,,,single,1,bachelors degree,3,bachelors degree,3
121,,online,1,,0,male,0,47,20,38,175.26,157.48,177.8,below average,"average, below average",1,2,,,single,1,bachelors degree,3,any,0
122,,online,1,,0,male,0,29,19,32,175.26,,,attractive,any,3,0,,,single,1,bachelors degree,3,any,0
123,,online,1,,0,male,0,29,19,26,175.26,162.56,,attractive,"very attractive, attractive, average",3,2,,,single,1,bachelors degree,3,any,0
124,,online,1,,0,male,0,40,23,40,180.34,,,attractive,any,3,0,,,divorced,2,bachelors degree,3,any,0
125,,online,1,,0,male,0,42,24,41,170.18,,,below average,any,1,0,,,single,1,bachelors degree,3,any,0
126,,online,1,,0,male,0,46,18,40,177.8,154.94,180.34,very attractive,any,4,0,,,single,1,bachelors degree,3,middle school / junior high,1
127,,online,1,,0,male,0,27,25,38,172.72,157.48,,average,any,2,0,,,single,1,high school,1,any,0
128,,online,1,,0,male,0,38,21,36,175.26,,,average,any,2,0,,,separated,2,high school,1,any,0
129,,online,1,,0,male,0,27,19,32,177.8,,,average,any,2,0,,,single,1,bachelors degree,3,any,0
130,,online,1,,0,male,0,24,18,28,177.8,,,average,any,2,0,,,single,1,vocational college,2,any,0
131,,online,1,,0,male,0,29,24,33,172.72,154.94,170.18,average,any,2,0,,,single,1,bachelors degree,3,vocational college,2
132,,online,1,,0,male,0,34,21,35,175.26,,,very attractive,any,4,0,,,single,1,bachelors degree,3,any,0
133,,online,1,,0,male,0,31,18,36,177.8,,,average,any,2,0,,,single,1,bachelors degree,3,any,0
134,,online,1,,0,male,0,21,18,23,175.26,160.02,167.64,below average,attractive,1,3,,,single,1,bachelors degree,3,any,0
135,,online,1,,0,male,0,30,35,43,165.1,149.86,165.1,attractive,any,3,0,,,single,1,bachelors degree,3,vocational college,2
136,,online,1,,0,male,0,39,22,38,165.1,154.94,160.02,average,attractive,2,3,,,single,1,bachelors degree,3,bachelors degree,3
137,,online,1,,0,male,0,46,22,35,177.8,154.94,177.8,attractive,any,3,0,,,divorced,2,bachelors degree,3,any,0
138,,online,1,,0,male,0,30,19,33,165.1,,,below average,any,1,0,,,single,1,high school,1,any,0
139,,online,1,,0,male,0,46,25,45,172.72,154.94,170.18,below average,any,1,0,,,divorced,2,high school,1,high school,1
140,,online,1,,0,male,0,49,27,45,170.18,160.02,,below average,attractive,1,3,,,single,1,bachelors degree,3,high school,1
141,,online,1,,0,male,0,29,19,31,177.8,,,attractive,"very attractive, attractive",3,3,,,single,1,phd or doctorate,5,any,0
142,,online,1,,0,male,0,34,21,33,175.26,,,attractive,any,3,0,,,single,1,masters degree,4,high school,1
143,,online,1,,0,male,0,32,18,35,177.8,160.02,180.34,very attractive,"very attractive, attractive, average",4,2,,,separated,2,bachelors degree,3,any,0
144,,online,1,,0,male,0,28,19,32,175.26,,,attractive,any,3,0,,,single,1,masters degree,4,any,0
145,,online,1,,0,male,0,32,20,35,175.26,,,below average,any,1,0,,,single,1,bachelors degree,3,any,0
146,,online,1,,0,male,0,20,18,22,170.18,,,average,any,2,0,,,single,1,bachelors degree,3,any,0
147,,online,1,,0,male,0,30,33,45,177.8,,,average,any,2,0,,,single,1,bachelors degree,3,any,0
148,,online,1,,0,male,0,49,27,45,177.8,,,below average,attractive,1,3,,,divorced,2,bachelors degree,3,any,0
149,,online,1,,0,male,0,32,25,35,170.18,,,average,any,2,0,,,divorced,2,high school,1,any,0
150,,online,1,,0,male,0,44,22,38,172.72,157.48,172.72,attractive,"attractive, below average",3,3,,,divorced,2,bachelors degree,3,high school,1
151,,online,1,,0,male,0,35,28,38,182.88,152.4,172.72,attractive,any,3,0,,,single,1,bachelors degree,3,any,0
152,,online,1,,0,male,0,24,18,25,,,,no answer,any,,0,,,single,1,no answer,0,any,0
153,,online,1,,0,male,0,33,22,36,175.26,,,below average,any,1,0,,,single,1,bachelors degree,3,any,0
154,,online,1,,0,male,0,38,22,38,175.26,,,attractive,any,3,0,,,divorced,2,vocational college,2,any,0
155,,online,1,,0,male,0,38,21,36,167.64,,,below average,any,1,0,,,single,1,bachelors degree,3,any,0
156,,online,1,,0,male,0,32,any,,170.18,,,average,any,2,0,,,single,1,vocational college,2,any,0
157,,online,1,,0,male,0,35,21,37,175.26,,,below average,any,1,0,,,divorced,2,bachelors degree,3,any,0
158,,online,1,,0,male,0,29,19,35,177.8,160.02,,average,average,2,2,,,single,1,bachelors degree,3,any,0
159,,online,1,,0,male,0,26,19,31,160.02,149.86,165.1,below average,below average,1,1,,,single,1,bachelors degree,3,bachelors degree,3
160,,online,1,,0,male,0,32,18,99,180.34,,,below average,any,1,0,,,single,1,bachelors degree,3,any,0
161,,online,1,,0,male,0,26,19,25,167.64,,,average,any,2,0,,,single,1,masters degree,4,any,0
162,,online,1,,0,male,0,31,20,35,172.72,154.94,165.1,below average,average,1,2,,,single,1,vocational college,2,any,0
163,,online,1,,0,male,0,27,19,32,172.72,,,below average,any,1,0,,,other,4,high school,1,any,0
164,,online,1,,0,male,0,41,23,40,177.8,,,average,any,2,0,,,widowed,3,bachelors degree,3,any,0
165,,online,1,,0,male,0,32,19,32,175.26,,,attractive,any,3,0,,,single,1,bachelors degree,3,any,0
166,,online,1,,0,male,0,43,35,41,160.02,,,attractive,average,3,2,,,divorced,2,high school,1,any,0
167,,online,1,,0,male,0,30,24,29,172.72,,,below average,any,1,0,,,single,1,bachelors degree,3,high school,1
168,,online,1,,0,male,0,35,22,30,162.56,,,attractive,any,3,0,,,single,1,bachelors degree,3,bachelors degree,3
169,,online,1,,0,male,0,26,19,31,180.34,,,average,any,2,0,,,single,1,high school,1,any,0
170,,online,1,,0,male,0,38,21,37,165.1,,,below average,any,1,0,,,divorced,2,high school,1,any,0
171,,online,1,,0,male,0,35,21,62,175.26,,,very attractive,any,4,0,,,single,1,bachelors degree,3,any,0
172,,online,1,,0,male,0,26,18,28,172.72,,,attractive,any,3,0,,,single,1,high school,1,any,0
173,,online,1,,0,male,0,42,36,44,175.26,160.02,172.72,average,any,2,0,,,divorced,2,bachelors degree,3,high school,1
174,,online,1,,0,male,0,34,21,36,175.26,,,attractive,any,3,0,,,single,1,masters degree,4,any,0
175,,online,1,,0,male,0,35,28,35,175.26,,,average,any,2,0,,,divorced,2,masters degree,4,any,0
176,,online,1,,0,male,0,38,28,38,172.72,157.48,170.18,average,any,2,0,,,divorced,2,bachelors degree,3,any,0
177,,online,1,,0,male,0,35,21,35,170.18,,,average,any,2,0,,,divorced,2,bachelors degree,3,any,0
178,,online,1,,0,male,0,47,45,70,177.8,,,below average,any,1,0,,,separated,2,bachelors degree,3,any,0
179,,online,1,,0,male,0,35,18,36,165.1,,,average,any,2,0,,,single,1,bachelors degree,3,any,0
180,,online,1,,0,male,0,50,20,30,180.34,160.02,170.18,attractive,"very attractive, attractive",3,3,,,divorced,2,bachelors degree,3,vocational college,2
181,,online,1,,0,male,0,30,19,33,175.26,,,attractive,any,3,0,,,single,1,masters degree,4,any,0
182,,online,1,,0,male,0,28,19,32,165.1,,,attractive,any,3,0,,,single,1,high school,1,any,0
183,,online,1,,0,male,0,26,23,31,170.18,154.94,180.34,below average,any,1,0,,,single,1,bachelors degree,3,any,0
184,,online,1,,0,male,0,35,20,35,175.26,149.86,175.26,attractive,any,3,0,,,divorced,2,bachelors degree,3,any,0
185,,online,1,,0,male,0,29,18,32,165.1,,,average,any,2,0,,,single,1,bachelors degree,3,any,0
186,,online,1,,0,male,0,32,25,35,172.72,154.94,175.26,average,any,2,0,,,divorced,2,bachelors degree,3,any,0
187,,online,1,,0,male,0,21,18,25,172.72,,,attractive,any,3,0,,,single,1,bachelors degree,3,any,0
188,,online,1,,0,male,0,32,19,32,172.72,,,attractive,any,3,0,,,divorced,2,bachelors degree,3,any,0
